step,action
0,35
1,35
2,35
0,36
1,35
0,35
1,35
2,35
0,36
1,35
2,35
3,36
0,36
1,35
0,35
0,36
1,36
2,35
0,36
1,36
2,35
3,36
4,35
5,36
6,36
7,36
8,36
9,23
10,36
11,36
12,1
0,36
1,36
2,35
3,35
4,36
5,36
6,36
7,36
8,36
0,36
1,35
0,36
1,35
0,36
1,35
2,36
3,36
4,36
5,36
6,36
0,36
1,36
2,36
3,36
0,36
1,36
2,35
3,35
4,36
5,35
6,35
7,36
8,36
9,36
0,36
1,36
2,35
3,35
4,36
5,36
6,36
0,36
1,36
0,11
1,36
2,36
0,36
1,36
2,35
0,36
1,36
2,35
3,36
4,36
0,36
1,36
2,36
3,36
0,26
1,35
0,36
1,36
2,35
3,36
4,36
5,36
0,36
1,36
2,35
3,36
4,35
0,36
1,36
2,36
3,36
4,36
0,32
0,36
1,13
0,36
1,36
2,36
3,36
0,36
1,36
2,35
3,36
4,36
5,36
6,36
7,36
0,36
1,36
2,36
3,36
0,36
1,36
2,36
3,36
0,36
1,36
2,36
3,36
4,36
0,36
1,36
2,36
0,36
1,36
2,35
0,36
1,36
2,36
3,36
4,36
0,36
1,36
2,36
3,36
4,35
0,36
1,36
2,36
3,36
4,36
5,36
6,36
7,36
8,36
9,36
0,36
1,35
2,36
3,36
4,36
0,36
1,35
0,36
1,35
2,36
3,36
4,36
5,36
0,36
1,36
0,36
1,35
0,36
1,35
0,36
1,36
2,35
3,35
4,36
5,36
0,36
1,36
0,36
1,36
2,35
0,36
1,23
2,36
3,36
4,36
0,36
1,35
2,35
0,39
1,39
2,39
3,39
4,39
5,39
6,39
7,39
0,36
1,35
2,35
3,39
4,39
5,39
0,36
1,35
0,39
1,35
2,35
3,39
4,39
0,39
1,39
2,39
3,39
4,39
0,39
1,39
2,35
0,39
1,12
0,39
1,35
0,39
1,39
2,35
3,39
4,39
5,39
6,39
7,35
0,7
1,39
2,16
3,39
4,39
0,7
1,39
2,39
3,39
4,39
0,7
1,39
2,35
0,7
1,16
2,39
0,7
1,16
2,39
3,39
4,39
0,7
1,39
2,39
3,39
4,39
5,39
6,39
0,7
1,39
2,39
3,39
0,7
1,39
2,39
3,39
4,39
5,40
0,7
1,39
2,39
3,39
4,39
0,7
1,2
2,35
0,7
1,35
2,35
0,35
1,35
2,35
0,22
0,27
1,35
2,35
3,35
4,35
5,7
6,39
7,29
8,16
0,7
1,39
2,16
3,35
4,35
5,39
6,39
0,35
1,35
2,35
3,35
0,39
1,39
2,35
3,35
4,35
5,39
6,39
0,39
1,35
2,39
0,7
1,35
2,35
3,35
4,35
5,39
6,39
7,39
0,39
1,35
2,35
3,39
4,39
5,39
0,35
0,35
1,35
2,35
3,29
4,35
5,16
6,35
7,25
8,16
9,29
0,35
1,35
2,35
3,35
4,35
5,39
6,29
7,16
8,16
9,29
0,35
1,35
2,35
3,29
4,7
5,36
6,29
0,35
0,35
